Singerman ID,leave blank,Description,leave blank 2
supp0236,,"The Two Doves, and other Tales. A Story Book for Holiday Hours. Philadelphia: R. S. H. George, 1847. 96 p. 

See ""Cruel John"" (pp. [34]-37) and ""Edward"" (pp. [38]- 41). The first tale involves a Jewish old clothes peddler that John plays a cruel trick on (""Pooh! He is only a Jew""); in the second tale, Edward helps the elderly Jewish man. TxDW holds a Philadelphia: Sorin & Ball, 1847, ed. Also a Philadelphia: T. Ellwood Zell, 1864, ed., with title: The Two Doves; and other Stories, for Children. MWA holds Little Basket-Maker, and Other Tales (Hudson, Oh., 1854), containing the separately-paged Holiday Tales, translated from the German. The Two Doves, and Other Tales. With Illustrations, with a separate title page. Contains ""Cruel John"" (pp. [17]-20) and ""Edward"" (pp. 20-22). ""Cruel John"" and ""Edward"" are also contained in The Little Museum, to Interest and Instruct Children (Philadelphia: Henry F. Anners, 1847). Copies: CtHi, CtY-B, FU (Baldwin Library), InMuB, MSaPEM, MWA (two defective copies).

Copies: MWA; 1864 ed., FU (Baldwin Library).",
supp0237,,"Walter, Cornelia W. Mount Auburn Illustrated. In Highly-finished Line Engraving, from Drawings taken on the Spot, by James Smillie. With Descriptive Notices by Cornelia W. Walter. New York: R. Martin, 1847. 119, [1] p., plates. 

""Central Square"" (pp. 60-66) is devoted to Hannah Adams and the monument erected in her honor as the ""Historian of the Jews."" Half-title: The Rural Cemeteries of America. Mount Auburn.

Copies: DeU, DLC, IEN, MB, MWA, MiU, NIC, NN, PU, TxU.",
supp0238,,"Barber, Mary Ann Serrett. Missionary Tales for Little Listeners. Revised and Enlarged by the Editor. Philadelphia: Presbyterian Board of Publication, [c1848]. 180 p. 

""Jerusalem"": pp. 108-19; ""The Jews at Shiraz"": pp. 148-58; ""The Rachabites"": pp. 159-62; ""A True Story of a Young Jew"": pp. 171-76. A perfect copy has a frontispiece, ""COURT OF A NEGRO KING."" The previous ed. (Philadelphia, 1842) has 172 p. and does not contain ""A True Story of a Young Jew.""

Copies: CBGTU, MWA, O, OCB, ViRUT.",
supp0239,,"Cass, Lewis. Remarks of Hon. Lewis Cass, of Michigan, on the Propriety of Sending a Minister to the Papal States. Delivered in the Senate of the United States, March 21, 1848. Washington: Printed at the Congressional Globe, 1848. 7 p. 

Contains minor references to Italy’s Jews.

Copies: AJHS, DLC, MiD, MiU, OClWHi, TxU.",
supp0240,,"Cincinnati. Allemania Club. Allemania. Constitution and By-laws. Adopted June 6, 1893. [Cincinnati]: Bloch Print., [1893?]. 23 p. 

A German-Jewish membership.

Copies: OCHP.",
supp0241,,"Croswell, William. ""The Synagogue."" In: M.C.C., ed., Love’s Garland: A Poetical Gift (Auburn, [N.Y.]: Alden, Beardsley & Co., [c1848]), pp. 18-20. 

Also the more common edition co-published with Wanzer, Beardsley & Co., Rochester, N.Y.

Copies: UPB.",
supp0242,,"Livermore, Harriet. The Glory of the Lord in the Land of the Living. 2d ed. Philadelphia: Printed (for the Authoress) by L. R. Bailey, 1848. 48 p. 

Discusses, in part, ""the restoration of the Jews with their long lost tribes, the house of Israel, in the Millennium"" (p. 10).

Copies: MH-AH, PU (LKCJAS).",
supp0243,,"M’Cheyne, Robert Murray. Familiar Letters by Rev. Robert Murray M’Cheyne, late Minister of St. Peter’s Church, Dundee, containing an Account of His Travels as One of the Deputation Sent Out by the Church of Scotland on a Mission of Inquiry to the Jews in 1839. Edited by His Father. New York: Robert Carter, 1848. 276 p., 12 p. of adv. 

The editor is Adam M’Cheyne.

Copies: ICU, MBC, MH-AH, NjP, ViRUT.",
supp0244,,"Schmid, Christoph von. Anselmo. From the German of Christoph von Schmid. New York: Edward Dunigan & Brother, [c1848]. 89 p. 

Anselmo, a Christian, is captured by pirates and sold in Algiers to Yussuf, a Jewish merchant and slave dealer. Illustrations, including the frontispiece, by John Gadsby Chapman. With, as issued, the author’s Clara; or. The Red and White Roses (62 p.) and The Forget me-not (24 p.), each with a separate title page and frontispiece. Issued in series: Dunigan’s Popular Library of Instruction and Amusement. Spine title: Schmid’s Tales. Illustrated. Anselmo. Clara. Forget-me-not. Anselmo was issued again in 1849 by the same publisher but now with two different tales by Schmid, The Cherries (35 p.) and The Melon (35 p.).

Copies: FTS, MdBJ, MWA.",
supp0245,,"[Sinclair, Catherine]. The Lives of the Cæsars. For Week-day Reading ... Revised by Daniel P. Kidder. [Youth’s Library, 409]. New-York: Lane & Tippett, for the Sunday-School Union of the Methodist Episcopal Church; Joseph Longking, Printer, 1848. 221, [3] p. 

""Titus, Eleventh Emperor of Rome"": pp. 151-89 (includes the Jewish rebellion against Rome and the Roman siege of Jerusalem).

Copies: MWA, NjMD.",
supp0246,,"Wines, Enoch Cobb. Lectures on the Hebrew Commonwealth. Mr. E. C. Wines Proposes to Deliver a Course of Twelve Lectures, embracing the Following Topics ... The above Lectures will be delivered, provided 300 Subscribers can be obtained, on [blank] Evening of each Week, till the Course is completed. Ticket, admitting One Person to the Course, $2,00 ... Boston: William Chadwick, Printer, [1848]. broadside.



Copies: MWA (Broadsides coll.).",
supp0247,,"Sosnovski, A. Di frantsoyzishe revolutsyon: a hekhst interesanter historisher roman. New York: Jacob Saphirstein, [1900?]. 274 p. 

An undated edition (256 p.), without a title page, is also encountered; it is more than likely a foreign import. The examined copies have the publisher’s original red boards with gold stamping. Copies: Agudas Chassidei Chabad Ohel Yosef Yitzchak Lubavitch (Brooklyn), NNYI, National Library of Israel. See also entry

Copies: MH.",
supp0248,,"Edson, Hiram. An Exposition of Scripture Prophecy showing the Final Return of the Jews in 1850. Canandaigua, N.Y., 1849. 41 p.



Copies: CLolC, MiBsA.",
supp0249,,"Johnson, J. C. Juvenile Oratorios: A Collection of Songs, designed for Floral and Other Concerts, Juvenile Classes, Schools, &c. Boston: Wilkins, Carter, 1849. score (176 p.). 

""The Children of Jerusalem"": pp. [127]-[73]. The oratorio was performed for the first time in December, 1848, at Boston’s Tremont Temple.

Copies: MWA, NhD.",
supp0250,,"Kitto, John. The Court of Persia, viewed in Connection with Scriptural Usages. Revised by Daniel P. Kidder. [Youth’s Library, 440]. New-York: Lane & Scott, for the Sunday-School Union of the Methodist Episcopal Church, 1849. 176 p. 

The author draws extensively upon the account in the Book of Esther. A perfect copy has a frontispiece. Later ed. published by Carlton & Phillips (New York, 1852).

Copies: GEU-T, MBAt, NjMD, ViRUT, WAL.",
supp0251,,"[Mortimer, Favell Lee]. Here a Little and There a Little; or, Scripture Facts. By the author of ""The Peep of Day,"" ""Line Upon Line,"" ""Precept Upon Precept."" New York: Baker and Scribner, 1849. 274 p. 

""The King of the Jews"": pp. [65]-70. Another ed.: New York: Charles Scribner, 1853; Philadelphia: E. Claxton, 1881. Published previously in New York by the American Tract Society in an undated edition entitled Scripture Facts in Simple Language; or, Here a Little and There a Little, this being a republication of the Society’s undated, separately-issued Scripture Facts in Simple Language series.

Copies: FTS, MWA, N, NNC, PMA, PPiU.",
supp0252,,"Osgood, Samuel. David and the Psalms. Boston: Wm. Crosby and H. P. Nichols; Printed for the American Unitarian Association, 1849. 32 p. 

""1st Series, No. 260."" Also paged: [239]-58.

Copies: DLC, MeP, MH, MH-AH, MU, MWA (holograph corrections), NHi, NNUT, NRCR, NRU, OCH, RPB, UU, WHi.",
supp0253,,"Read, Hollis. The Hand of God in History; or, Divine Providence Historically Illustrated in the Extension and Establishment of Christianity. ... Hartford: H. E. Robins, 1849. 402, [1] p. 

Chap. 18, ""The Jews."" Frequently reissued, including editions in 2 vols. beginning in 1856.

Copies: CSuvM, CtHT, CtY, DLC, KyLoS, KyWAT, MiHolW, MiU, TxDaTS.",
supp0254,,"Strickland, Jane Margaret. Sayings and Doings; or, Proverbs and Practice. Embellished with Elegant Engravings by J. A. Adams. New York: J. C. Riker, 1849. 135 p.

See ""The Consequences of Extravagance"" (pp. ([74]-92), a moral tale for children extolling the virtue of never being a debtor. The plate, ""Harry Baynard purchasing the seven-bladed knife,"" depicts a dishonest itinerant ""Jew dealer.""

Copies: CRedlU, DeU, FU (Baldwin Library), MWA, MiDW.",
supp0255,,"Toledot Yeshu. English. Selections. [Toledot Yeshu]. Toldoth Yeshu, or, The Jewish Account of the History of Jesus of Nazareth. Translated from Hebrew-as found in Wagenseil’s ""Tela Ignea Satanæ."" [South Carolina], 1849. 14 p. 

The anonymous translator is Rev. James Cohen, a native of Algiers, later converted to Christianity, then a missionary to the Jews, and lastly a professor of Hebrew. ""Entered according to the Act of Congress, in the year 1849, in the District Clerk’s Office for the South Carolina District.""

Copies: KyLoS, Vrije Universiteit Amsterdam.",
supp0256,,"Another Debt; or, Jesus the Sinner’s Friend. New York: American Tract Society, [185-?]. 12 p. (16 p. with the paginated covers). 

Text on pp. 3-12 has title, Another Debt; or, Jesus the Sinner’s Surety. See pp. 2-3, 16 for the text of ""The Jew and His Daughter."" Page 16 also contains ""The Bible Its Own Interpreter."" ""No. 554.""

Copies: KyLoS, NNUT, NcD.",
supp0257,,"The New York Cries. Aunt Jaunty’s Tales. New York: Engraved and Published by T. W. Strong, [185-?]. [16] p. 

Contains text, ""The Old Clothesman,"" with a woodcut on the opposite page of Issac, a Jewish peddler whose ""practice is to buy all his goods as cheaply as he can, though he afterwards sells them at an immense profit.""

Copies: CtY-B, MWA, NjP.",
supp0258,,"Smith, John Frederick. Stanfield Hall. Historical Romance. New York: Garrett & Co., [185-?]. 432 p., plates. 

Stanfield Hall, an historical novel, begins during England’s Norman period. Counted among the Jews is Rachel, a beautiful Jewess and the daughter of Rouen’s Chief Rabbi. Another ed.: New York: Dick & Fitzgerald, [185-?]. 432 p., plates. Copies: CSt, FWpR.

Copies: IU, NN, OYU.",
supp0259,,"City Sights and London Cries. New Haven: S. Babcock, 1850. 8 p. 

A small (10 cm.) book of juvenile verse with a picture of Moses, an old, bearded clothes peddler (""Old clothes to sell; about the streets is Moses’ morning cry""). Copies, InU (two copies, one with green wrappers, the other with blue wrappers), MWA, PP.

Copies: InU (two copies, one with green wrappers, the
other with blue wrappers), MWA, PP.",
supp0260,,"[Cooper, Susan Fenimore]. Rural Hours. By a Lady. New York: George P. Putnam, 1850. 521 p. 

See pp. 394-400 concerning the ""Jewish festivals of thanksgiving for the fruits of the earth."" Frequently reissued, also with illustrations, as in the 6th ed., Philadelphia: Willis P. Hazard, 1854. Also published under title, Journal of a Naturalist in the United States.

Copies: In most academic libraries.",
supp0261,,"Croly, George. Salathiel; or, The Wandering Jew. A Story of the Past, Present, and the Future. Complete in One Volume ... Philadelphia: T. B. Peterson, 1850. 210 p. 

An illustrated ed., as is the 232 p. ed. Running title: Salathiel. Publisher’s address is 98 Chestnut St. Another ed.: Salathiel; (The Wandering Jew.). A Story of the Past, Present, and the Future. ... Philadelphia: T. B. Peterson & Brothers, [1863?]. 19-232 p., [8] p. of adv. Running title: Salathiel; The Wandering Jew. Publisher’s address reflects a move to 306 Chestnut St. The ""Preface"" and frontispiece in the 1850 ed. now have a different page placement; page number 199 in this ed. is printed correctly (see below). Copies: MWA, NjP, TMSC, TNJ, TxU-Hu. MWA holds a variant 232 p. ed. collated as 22-232 p. Note the pagination error of p. 199 misnumbered as 189. This undated edition most likely precedes the other 232 p. ed. with the corrected page number; it may have been issued as early as 1858, the year the publisher relocated to the 306 Chestnut St. address.

Copies: CtY, MdU, MB, MiD, NcD, ViRU, ViU.",
supp0262,,"Ludvigh, Samuel Gottlieb. S. Ludvigh’s Reden, Vorlesungen und prosaische Aufsaetze, im Gebiete der Religion, Philosophie und Geschichte. Stereotyp=Ausgabe. Baltimore: Verlag des Verfassers, 1850. 464 p. 

""Moses"" (pp. 132-98), ""David als Mensch und als König"" (pp. 199-222), ""König Salomo"" (pp. 223-29). A freethought perspective.

Copies: DLC (defective), NN, PPG.",
supp0263,,"Munsell, Joel. The Typographical Miscellany. Albany: Joel Munsell, 1850. 267, [1] p. 

See references to M. M. Noah, including libel actions and his National Advocate, on pp. 134-44 passim.

Copies: CU, DLC, MB, MH, MWA, NN, NcU, PP, PPL, ScU.",
supp0264,,"My Own Book; or, Select Narratives and Instruction Suitable for Youth. Philadelphia: Presbyterian Board of Publication, [c1850]. 128 p. 

""Abraham’s Trial. A School Examination and Address"": pp. 7-28. A perfect copy has a frontispiece.

Copies: CBGTU, DLC, FTaSU, FU (Baldwin Library), KyHi, MsJRT, NjPT, NNC, NcCU, O, PP, PPPrHI, ViRUT.",
supp0265,,"Nott, Josiah Clark. Chronology, Ancient and Scriptural; being a Reply to an Article contained in the Southern Presbyterian Review, reviewing Nott’s Lectures on the Connection Between the Biblical and Physical History of Man. [From the Southern Quarterly Review for November 1850]. Charleston, S.C.: Steam-Power Press of Walker and James, 1850. 44 p. 

Nott discusses, in part, the patriarchal genealogies. Running title: Ancient and Scriptural Chronology. Rosenbach 676.

Copies: DLC, NBuBE, NNC, PPAmP, PPL, PU (LKCJAS), ScU.",
supp0266,,"Parley’s Book of Books, A Very Entertaining Collection of Anecdotes in Natural History, Voyages and Travels, Manners and Customs, History, and Curious Things, told in the Interesting Style in which only Peter Parley could tell them. Illustrated with Two Hundred Engravings. Parley’s New Book for Children. Philadelphia: Hazard & Mitchell, 1850. viii, 383 p. 

""Parley’s Sketches of the Manners of the Jews"": pp. [259]-60. A perfect copy has a frontispiece.

Copies: FU (Baldwin Library), ICarbS, PP.",
supp0267,,"Senex (pseud.). The Doom of Wicked Rulers, being a Review of some Important Portions of Ancient and Modern History. Cincinnati: Ben Franklin Printing Office, 1850. 26 p. 

Based, in part, on the Jewish kingdoms of Israel and Judah. Senex is most likely Robert Hamilton Bishop (1777-1855), the former president of Miami University (Oxford, Oh.). An old note written in ink on the title page of the NN copy identifies the author as ""Dr Bishop,"" whereas the cataloging record of The Huntington Library, Art Collections and Botanical Gardens (CSmH) reads, ""Possibly by William Goode, 1801-1868, ed. of the ‘Christian Observer.’""

Copies: CSmH, MWA, NN, NRU, OC, OHi, PHuJ, RPB.",
supp0268,,"Tasistro, Louis Fitzgerald. Woman: Her Character, Her Position, and Her Treatment, from the Earliest Days down to the Present Time. Being the Substance of a Lecture delivered before the Baltimore Addison Lyceum. Baltimore: John Murphy, 1850. 50 p. 

See the section devoted to the ancient Hebrews on pp. 9-14.

Copies: CSt, CtY, DGW, DLC, ICJ, MNS, NjP, NcGU, TxDW.",
supp0269,,"A Visit to the Holy Land, The Young Jewess, The Red Berries, and, The Twins. Philadelphia: Presbyterian Board of Publication, [between 1850 and 1857]. 36 p. 

""A Visit to the Holy Land"" (pp. 3-20) has a drawing on p. 20 captioned, ""A Polish Jew with Fur Cap."" Jamaica is the setting for ""The Young Jewess"" (pp. 21- 25). Rinderknecht 43-5091 (entered under 1843 based on superseded cataloging data by ViRUT).

Copies: CBGTU, FU (Baldwin Library), NAlU, PPPrHi, ViRUT.",
supp0270,,"Avery, Elizabeth. A Few Thoughts Taken from the Word of God, in favor of Christ's Body being of a Divine Nature, He being the Son of God and not the Eternal Father. The End of Idolatry and the Restoration of the Jews. Christian’s Duty and Fellowship, a Short Experience. [United States, 1851]. 166 p. 

""The End of Idolatry and the Restoration of the Jews"": pp. [39]-61.

Copies: OClWHi.",
supp0271,,"Babylon and the Banks of the Euphrates. Revised by D. P. Kidder. New-York: Lane & Scott, for the Sunday-School Union of the Methodist Episcopal Church, 1851. 211 p. 

Informative of Abraham of Ur, his family, and their journey, also the Prophet Ezekiel’s tomb and its veneration, and the sojourn of Benjamin of Tudela through what is now Iraq and his account of Hillah’s Jewish community. A perfect copy has a folded frontispiece map.

Copies: NjMD, ViU.",
supp0272,,"Croswell, William. Poems, Sacred and Secular. Edited, with a Memoir, by A. Cleveland Coxe. Boston: Ticknor and Fields, 1851. xlviii, 284 p. 

""The Synagogue"": pp. 51-53; ""Feast of the Tabernacles"": p. 63; ""Meeting of the Tribes"": pp. 64-65.

Copies: CU, DLC, MiD, NNUT, OrCS; 1861 ed., in most academic libraries.",
supp0273,,"Freemasons. Grand Lodge of the State of New York. Transactions of the Grand Lodge of the Most Ancient and Honorable Fraternity of Free and Accepted Masons of the State of New York, from October 18th, A.L. 5650, to June 3d, A.L. 5851. ... New York: Bro. James Narine, Printer, 1851. 192 p. 

See ""Report of the Committee on Foreign Correspondence"" (pp. 92-151) and the brief section (at p. 107) devoted to protests initiated by the American grand lodges against the religious tests adopted by the European lodges to bar Jews from membership. The report, submitted by Jarvis M. Hatch, Joseph D. Evans, and James Wenz, is dated May 9, 1851.

Copies: NjR, NHi, NN (microfilm).",
supp0274,,"Hamlin, Cyrus. The Oriental Churches and Mohammedans. Missionary Tracts, no. 11. Boston: Published by the Board, 1851. 20 p. 

In addition to remarks about the dismal state of ""Oriental Christianity,"" the author addresses Christian- Muslim relations with interspersed references to the Jews and Judaism. At head of title: American Board of Commissioners for Foreign Missions.

Copies: MWA; 1853 ed., CtY-D, MH-AH, NcD.",
supp0275,,"""The Jewish Maiden."" In: Mary E. Hewitt, ed. The Gem of the Western World, for 1851 (New-York: Cornish, Lamport, c1851), pp. [297]-304.



Copies: CSmH, CU-A, MH, MiU, MnU, NjR, NHi, NcD, PSt, RPB.",
supp0276,,"Letter from a Christian to a Jew. Charleston, [S.C.]: Printed by A. J. Burke, 1851. 8 p.



Copies: ScHi (microfilm).",
supp0277,,"McCabe, John Collins. ""The Jewish Pilgrim before the City of David."" In: Thomas Wyatt, ed. Gems From the Sacred Mine; or, Holy Thoughts upon Sacred Subjects, by Clergymen of the Episcopal Church (Philadelphia: Lippincott, Grambo, 1851), pp. 136-40, plate. 

In verse.

Copies: DLC, PSt, RPB.",
supp0278,,"Merry Tales for Little Folk. Illustrated with Numerous Pictures. New York: C. S. Francis & Co.; Boston: J. H. Francis, 1851. 393 p., [2] p. of adv. 

""The Jew in the Bramble Bush"": pp. 283-93.

Copies: CSj; 1853 ed., UPB; 1859 ed. (New York: C. S. Francis & Co.), KyU.",
supp0279,,"A Pastor. The Pearl Box: Containing One Hundred Beautiful Stories for Young People. By a Pastor. Boston: Oliver L. Perkins, c1851. 216 p. 

""The Jew and His Daughter"": pp. 209-11. Copyright held by O. L. Perkins.

Copies: CNoS, FTS, FU (Baldwin Library), MWelC, MiU, OKentU, UPB.",
supp0280,,"Robertson, Donald Fyfe. National Destiny and Our Country: A Discourse. New York: E. French, 1851. 48 p. 

Rev. Robertson’s pulpit message opposes the separation of church and state. He is angered by the ""irreligious character"" of the country’s rulers and a ""Government ... mute and gagged for FEAR of a handful of Jews and professed infidels living under the vine and fig-tree of the Christian heritage!"" (pp. 44-45).

Copies: CU-SB, GEU-T, MiU, NhD, N, NHi, NIC, NN, TxHTSU, ViU.",
supp0281,,"Bloss, Celestia Angenette. Heroines of the Crusades. Muscatine, Ia.: R. M. Burnett, 1852 [c1853]. xi, [19]- 496 p. 

See ""The Jewess"" (pp. 425-30), within ""Eleanora"" (pp. [239]-457); alternatively, ""Eleanora of Castile."" Later editions exist.

Copies: DLC, IaU, MNS, NN, PPi, PSt.",
supp0282,,"Boynton, Charles Brandon. Sermon on the Hebrew Law of Usury, delivered in the Vine-Street Congregational Church. Cincinnati: Printed by A. J. Bentley & Co., 1852. 20 p. 

Running title: Lecture on the Hebrew Law of Usury.

Copies: GEU-T, OCHP.",
supp0283,,"Fisher, Orceneth. History of Immersion, as a Religious Rite; from Its Rise Among the Jews, to the Present Time. Including Its Introduction into the Christian Church, and the Several Changes It Has Undergone at Different Periods Since That Time. Rusk, [Tex.]: Printed at the ""Cherokee Sentinel"" Office, 1852. 90 p.



Copies: NcD, TxU.",
supp0284,,"Fleury, Claude. Manners of the Ancient Israelites: Containing an Account of Their Peculiar Customs and Ceremonies, Their Laws, Religion, Sects, Arts and Trades, Divisions of Time, Wars, Captivities, &c. With a Short Account of the Ancient and Modern Samaritans ... The whole much enlarged from the Principal Writers on Jewish Antiquities. By Adam Clarke ... From the Second London Edition. New-York: Carlton & Phillips, 1852. 386 p., [1] p. of adv. 

For another edition, see entry JA 0417.

Copies: OU, NvLN, PU (LKCJAS), TxDaM-P.",
supp0285,,"Hill, Henry F. The Saints’ Inheritance; or, The World to Come. ... New York: R. T. Young, 1852. 247 p. 

Chap. 18, ""No Covenants or Promises to Jews More Than to Gentiles"" (pp. [219]-38). Spine title: The World to Come. The later editions, with an added chap. 20 (""Extracts Concerning the Final Residence of the Saints""), have 264 p., plus ""Notices.""

Copies: FMtTSD, MiBsA.",
supp0286,,"Jacobus, Melancthon W. A Plea for the Critical Study of Scriptures, against Romanism and Rationalism. A Discourse delivered by Rev. Melancthon W. Jacobus, D.D. on the occasion of His Inauguration as Professor of Biblical and Oriental Literature in the Western Theological Seminary at Allegheny City, Pa. April 12, 1852. Published by Request of the Board of Directors. Pittsburgh: Printed by Shryock & Hacke, 1852. 24 p. 

See remarks concerning the neglected study of Hebrew within the Catholic Church, the Inquisition’s persecution of the Jews, and the rejection of Catholicism by Jews that extends to the present day. There is a discussion of the failure of seminaries to prepare missionaries in foreign languages, including Hebrew, to approach the Jews, gifted as they are in multiple languages (pp. 4-6, 13-14).

Copies: CBGTU, CtY-D, ICN, MWA, MiU-C, NjP, NHi, PPiPT, PPiRP, PPL, PPPrHi, PSt.",
supp0287,,"Lamartine, Alphonse de. Translations from the Meditations of Lamartine. Together with Fugitive Pieces by James T. Smith. New-York: C. Shepard & Co., 1852. iv, 104, [1] p. 

See ""Jephthah’s Daughter"" (pp. 58-59) and ""The Wandering Jew. Translated from the French by Beranger"" (pp. 68-71), both by Smith.

Copies: CSmH, DLC, ILS, LLafS, LNT, RPB, ViW.",
supp0288,,"Poore, Benjamin Parley. The Russian Guardsman. A Tale of the Seas and Shores of the East. New York: Samuel French, [1852?]. 100 p. 

Manasseh is an avaricious Jewish merchant in Smyrna. The volume includes ""Hugo von Ehrenfels. A Rhenish Tale,"" chap. 1, by James De Mille, on pp. 94-100. Wright II:1929.

Copies: FU, ICU, ViU.",
supp0289,,"Tyre: Its Rise, Glory, and Desolation. With Notices of the Phœnicians generally. ... Revised by D. P. Kidder. New-York: Carlton & Phillips, 1852. 214 p. 

Based in large part on Biblical accounts of relations between Israel and Phoenician Tyre, Scriptural prophecy concerning Tyre, and the writings of Josephus. Another ed.: New-York: Carlton & Phillips, 1854. 214 p., [2] p. of adv.

Copies: ICarbS, IEG, PPLT. The 1855 Carlton & Phillips ed. does not mention D. P. Kidder.",
supp0290,,"Williamson, A. Letters to a Millenarian, by Rev. A. Williamson, Pastor of the Presbyterian Church of Chester, N.J. New York: M. W. Dodd, 1852. 179 p. 

At head of title: The Present Jews Not the Lawful Heirs of the Abrahamic Will.

Copies: InIT, NcD.",
supp0291,,"Woodworth, Francis Channing. The Youth’s Book of Gems, for the Mind and Heart. With One Hundred Engravings. Auburn, [N.Y.]: Derby and Miller, 1852. 386 p. 

""The Hebrew Mother and her Child"": pp. 40-41; ""The Honest Jew:"": p. 53. Running title: The Youth’s Cabinet.

Copies: CtY, IU, NcD, OClWHi, ScU; Second Thousand, FU, UPB.",
supp0292,,"The Boston Almanac for the Year 1854, by Damrell & Moore, and George Coolldge [i.e., Coolidge]. Boston: John P. Jewett; Cleveland: Jewett, Proctor & Worthington, [1853?]. 180 p., [12] p. of adv. 

A description of the ""Israelitish Synagogue"" on Warren Street, with an accompanying illustration, is on p. 63.

Copies: MeU-P, MWA, MWelC, PPL.",
supp0293,,"Chambers’ Home Book; or, Pocket Miscellany, containing a Choice Selection of Interesting and Instructive Reading for the Old and the Young. Boston: Gould and Lincoln, 1853. 6 vols. 

""The Wandering Jew"": vol. 3, pt. 1, pp. 165-72. See also entry

Copies: FTU (vols. 1-4, 6), OCl (vol. 5), ViU (vols. 1, 3-6).",
supp0294,,"Fassett, O. R. Expository Discourses on Romans XI. (the Two Covenants) and Revelation XX., with other Important Scriptures, showing the True Relation of the Jew to God, and the Covenant of His Mercy in Christ; and the Scriptural Character of the Millennium. Boston: J. V. Himes, 1853. 121 p., vi p. of adv.



Copies: IEG, MSohG, TxDaTS.",
supp0295,,"EXTRA! JEWS at Manhattan Beach. [New York?, 1879?]. broadside. 

A satirical dialect song about the exclusion of ""sheenies"" from Austin Corbin’s Manhattan Beach hotel (1879), also the earlier incident (1877) when Joseph Seligman was barred from Judge Henry Hilton’s Grand Union Hotel at Saratoga, N.Y. ""Sung by MAILLIW J. ROLYAT. AIR-SKIDMORE FANCY BALL."" The NIC copy is torn along the entire bottom edge resulting, perhaps, in the loss of a printer statement?

Copies: NIC.",
supp0296,,"The Life of Jesus. ... Written for the Massachusetts Sabbath School Society, and approved by the Committee of Publication. Boston: Massachusetts Sabbath School Society, 1853. 214 p. 

""This little book makes no claim to originality, except in its plan. It is simply the life of Jesus, changed from the disconnected narrative of the Evangelists into a continuous story, with some account of the manners and customs of the Hebrews, alluded to by them"" (from the ""Preface""). Text of Alexander Pope’s ""Messiah"" on pp. [209]-14. Copyright held by Christopher C. Dean.

Copies: DLC, MWA, OO, PPPSB, RPB.",
supp0297,,"Mathews, Cornelius. A Pen-and-Ink Panorama of New-York City. New York: John S. Taylor, 1853. 209 p. 

""Chatham-Street"": pp. 161-69.

Copies: CCC, CtY, DLC, NN, NNC, NSbSU, PP, RPB, ViU.",
supp0298,,"Nelson, Henry Addison. Our National Religion. A Discourse delivered at Auburn, N.Y., on the Public Thanksgiving, November 24, 1853. Auburn, [N.Y.]: W. E. Hewson, 1853. 20 p. 

Nelson’s premise is that ""Jehovah, the God of the Hebrews, is the God of our nation: the religion of the Bible is our National Religion"" (p. 4). He elaborates (p. 7) that ""Protestant Christianity"" is our ""national religion.""

Copies: GEU-T, MBU, MWA, N, NNUT, NSyU, TxU",
supp0299,,"New York. Congregation B'nai Israel. Order of Service at the Consecration of the New Synagogue, Broadway, by the Congregation B’nai Israel, On Wedneday, 14th of September, 5613. The Consecration Sermon by the Rev. Dr. Raphall, Rabbi Preacher to the Congregation B’nai Jeshurun, New-York. The Hymn in Hebrew and English, by the late H. Hurwitz, Esq., Professor of Hebrew in the University College, London. The Music Composed by Mr. Louis Leo, and Conducted by Mr. J. M. Strobel. New- York: Printed by John M. Jackson, 5613 [1853]. 18 p. 

Added title page in Hebrew: Seder ḥanukat ha-bayit ... English and Hebrew on facing pages.

Copies: KyU, National Library of Israel.",
supp0300,,"Adams, John Greenleaf. ""The Jews."" In: Elizabeth Doten, ed. The Lily of the Valley, for 1854 (Boston: James M. Usher and Benjamin H. Greene, 1854), pp. 87-97.



Copies: MWA, MnStjoS, ViW.",
supp0301,,"American Statistical Annual for the Year 1854. New York: J. H. Colton & Co., 1854. 537 p., 23, [3] p. of adv. 

Edited by Richard Swainson Fisher and Charles Galusha Colby. ""Statistics of the Churches in the United States"": pp. 95-100 (see the data for synagogues in the section designated ""Jewish"" on p. 97).

Copies: DLC, FU, MH, PPL, RPB.",
supp0302,,"Boston. Congregation Adath Israel. Programme for the Consecration of the Pleasant St. Synagogue in Boston, on the 15th of Sept. A. M. 5614 at 3½ o’clock P. M. [Boston: M. Hofmann, Printer, 1854]. 1 leaf printed on both sides. 

Some text in Hebrew. New York’s Rev. Dr. Lilienthal gave the benediction, consecration prayer, and a sermon in English; the closing address and sermon were given in German by J. Sachs, the congregation’s minister.

Copies: MSaPEM.",
